,0,1,2,3,4,5,6,7,8,9
2,0.959267056487438,0.8379873475622222,0.8955030543811906,0.8949699758591954,0.9204680207809477,0.9283500056833223,0.9658632332498395,0.9690761115676103,0.9632870035768106,0.9219309704544733
3,0.9161960769510803,0.8668671331042845,0.8152262821750934,0.9073744213282511,0.939115774465857,0.8876876940034605,0.9253873659813008,0.9060268475344041,0.9127986514535413,0.8693179142971106
4,0.8871188137099986,0.9128656035517284,0.8570734599177904,0.894879397698829,0.8634625977014921,0.8740823053997587,0.8572356311601749,0.8407027152824688,0.8674298984569159,0.8699109796246559
5,0.7992593659296658,0.7998382798599972,0.8273646756567985,0.8425003786153114,0.8197435790206989,0.8221611745232694,0.7294065440580875,0.8823032556158872,0.8734018670508358,0.8084372306179082
6,0.8355526763434424,0.8083663364402494,0.8175010982674387,0.8782828446750255,0.8312358412658982,0.8117122053151236,0.7961208615152657,0.7677304948518329,0.7925037576625126,0.7911228324422108
7,0.7686589452369686,0.7649816627290713,0.8222470612703007,0.8333307707725626,0.7568312393051707,0.7605761745468963,0.7508944699622564,0.7286495706155088,0.7400983415464517,0.79768810673569
8,0.6845429598340214,0.7732490557194721,0.7088044140735705,0.7387864573115028,0.6572307764828225,0.7466539658585701,0.7400184572587206,0.8018305194677773,0.627953388748136,0.6707254913813385
9,0.7311552415408499,0.6972222376044169,0.7872548799731419,0.7274941804420865,0.7548726058252772,0.6782307346939211,0.6834735851891632,0.6227837330520046,0.6389079152634879,0.7587415887300777
10,0.7157335690252127,0.707918317149633,0.6214368680701101,0.6746109081717695,0.6033476148073663,0.676877496619022,0.6878363761879978,0.6334213914297597,0.6153168044057237,0.7169276787021195
12,0.5954267210042187,0.6602670830561543,0.6332977518037873,0.624054042250693,0.5682599939022092,0.5542500620580376,0.6399409070858151,0.6604292191771365,0.6284720146929293,0.5656256144937372
15,0.47887979961296967,0.43384517525676347,0.4226898681329605,0.5283359983424077,0.5309827550190941,0.41827269212997314,0.574782088516718,0.5686840620369974,0.5133141529296035,0.40993193394661454
